Disease	Disease_name	Orphan	Predicted_MGI	MGI_name	MGI_entrez	Genetic_location	Human	score
OMIM:100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1	Yes	MGI:5441330					0.84
OMIM:100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1	Yes	MGI:88175	mannosidase, beta A, lysosomal	110173	Chr3 62.65 cM		0.83
OMIM:100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1	Yes	MGI:97250	myelocytomatosis oncogene	17869	Chr15 26.19 cM		0.81
OMIM:100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1	Yes	MGI:1347521	receptor tyrosine kinase-like orphan receptor 2	26564	Chr13 27.68 cM		0.75
OMIM:100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1	Yes	MGI:5308377					0.67
OMIM:100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1	Yes	MGI:105062	anti-Mullerian hormone type 2 receptor	110542	Chr15 57.58 cM		0.55
OMIM:100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1	Yes	MGI:1861441	RAB27A, member RAS oncogene family	11891	Chr9 40.08 cM		0.51
OMIM:100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1	Yes	MGI:1916625	BTB (POZ) domain containing 9	224671	Chr17 15.62 cM		0.49
OMIM:100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1	Yes	MGI:98715	intraflagellar transport 88	21821	Chr14 30.1 cM		0.46
OMIM:100600	ACANTHOSIS NIGRICANS	Yes	MGI:108427	insulin-like 3	16336	Chr8 34.43 cM		0.72
OMIM:100600	ACANTHOSIS NIGRICANS	Yes	MGI:95762	GM2 ganglioside activator protein	14667	Chr11 32.13 cM		0.71
OMIM:100600	ACANTHOSIS NIGRICANS	Yes	MGI:3838160					0.69
OMIM:100600	ACANTHOSIS NIGRICANS	Yes	MGI:105367	interleukin 4 receptor, alpha	16190	Chr7 68.94 cM		0.6
OMIM:100600	ACANTHOSIS NIGRICANS	Yes	MGI:95457	MDS1 and EVI1 complex locus	14013	Chr3 12.66 cM		0.55
OMIM:100600	ACANTHOSIS NIGRICANS	Yes	MGI:3708165					0.49
OMIM:100600	ACANTHOSIS NIGRICANS	Yes	MGI:88457	collagen, type V, alpha 1	12831	Chr2 19.38 cM		0.48
OMIM:100600	ACANTHOSIS NIGRICANS	Yes	MGI:5289951					0.37
OMIM:100800	achondroplasia	No	MGI:2150019	sprouty-related, EVH1 domain containing 2	114716	Chr11 12.79 cM		0.84
OMIM:100800	achondroplasia	No	MGI:95524	fibroblast growth factor receptor 3	14184	Chr5 17.83 cM		0.81
OMIM:100800	achondroplasia	No	MGI:99602	aggrecan	11595	Chr7 44.88 cM		0.8
OMIM:100800	achondroplasia	No	MGI:2385061	photoreceptor cilium actin regulator	225004	Chr17 42.67 cM		0.77
OMIM:100800	achondroplasia	No	MGI:97800	parathyroid hormone-like peptide	19227	Chr6 78.19 cM		0.72
OMIM:100800	achondroplasia	No	MGI:2181550					0.7
OMIM:100800	achondroplasia	No	MGI:1921393	OPA1, mitochondrial dynamin like GTPase	74143	Chr16 20.65 cM		0.67
OMIM:100800	achondroplasia	No	MGI:1922941	ankyrin repeat and sterile alpha motif domain containing 6	75691	Chr4 25.88 cM		0.63
OMIM:100800	achondroplasia	No	MGI:88519	crystallin, beta B2	12961	Chr5 55.38 cM		0.6
OMIM:100800	achondroplasia	No	MGI:2450166	Rho GTPase activating protein 32	330914	Chr9 17.48 cM		0.58
OMIM:100800	achondroplasia	No	MGI:1341105	retinitis pigmentosa 1 (human)	19888	Chr1 1.65 cM		0.52
OMIM:100800	achondroplasia	No	MGI:97372	natriuretic peptide receptor 2	230103	Chr4 23.05 cM		0.47
OMIM:100800	achondroplasia	No	MGI:1345138	sprouty RTK signaling antagonist 2	24064	Chr14 56.16 cM		0.45
OMIM:100800	achondroplasia	No	MGI:97628					0.39
OMIM:100820	ACHOO SYNDROME	Yes	MGI:5544910					0.78
OMIM:100820	ACHOO SYNDROME	Yes	MGI:109198	eukaryotic translation initiation factor 4E binding protein 2	13688	Chr10 32.21 cM		0.76
OMIM:100820	ACHOO SYNDROME	Yes	MGI:2444672	MAP-kinase activating death domain	228355	Chr2 50.46 cM		0.72
OMIM:100820	ACHOO SYNDROME	Yes	MGI:4943325					0.7
OMIM:100820	ACHOO SYNDROME	Yes	MGI:104669	mannosidase 2, alpha 1	17158	Chr17 33.76 cM		0.56
OMIM:100820	ACHOO SYNDROME	Yes	MGI:3604137					0.55
OMIM:100820	ACHOO SYNDROME	Yes	MGI:2448181					0.51
OMIM:100820	ACHOO SYNDROME	Yes	MGI:98961	wingless-type MMTV integration site family, member 7A	22421	Chr6 40.45 cM		0.5
OMIM:100820	ACHOO SYNDROME	Yes	MGI:2388297					0.46
OMIM:101000	neurofibromatosis	No	MGI:97283	neutrophil cytosolic factor 1	17969	Chr5 74.47 cM		0.83
OMIM:101000	neurofibromatosis	No	MGI:5437708					0.79
OMIM:101000	neurofibromatosis	No	MGI:4889197					0.67
OMIM:101000	neurofibromatosis	No	MGI:88459	collagen, type VI, alpha 1	12833	Chr10 39.71 cM		0.64
OMIM:101000	neurofibromatosis	No	MGI:105381	ribosomal protein SA	16785	Chr9 71.41 cM		0.63
OMIM:101000	neurofibromatosis	No	MGI:97306	neurofibromin 1	18015	Chr11 46.74 cM		0.6
OMIM:101000	neurofibromatosis	No	MGI:1915181	serine (or cysteine) peptidase inhibitor, clade I, member 2	67931	Chr3 33.74 cM		0.55
OMIM:101000	neurofibromatosis	No	MGI:2176882	toll-like receptor 7	170743	ChrX 78.31 cM		0.54
OMIM:101000	neurofibromatosis	No	MGI:107689	kinesin family member 3A	16568	Chr11 31.97 cM		0.51
OMIM:101000	neurofibromatosis	No	MGI:4360676					0.5
OMIM:101000	neurofibromatosis	No	MGI:3721907					0.49
OMIM:101000	neurofibromatosis	No	MGI:1339752	colony stimulating factor 2 (granulocyte-macrophage)	12981	Chr11 32.13 cM		0.48
OMIM:101000	neurofibromatosis	No	MGI:97307	neurofibromin 2	18016	Chr11 3 cM		0.43
OMIM:101000	neurofibromatosis	No	MGI:97492	paired box 8	18510	Chr2 16.43 cM		0.4
OMIM:101000	neurofibromatosis	No	MGI:1338946	activin A receptor, type II-like 1	11482	Chr15 56.41 cM		0.38
OMIM:101000	neurofibromatosis	No	MGI:2673307	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein A (avian)	378435	Chr15 34.82 cM		0.35
OMIM:101200	acrocephalosyndactylia	No	MGI:104597	troponin T2, cardiac	21956	Chr1 59.32 cM		0.78
OMIM:101200	acrocephalosyndactylia	No	MGI:1336194	tripeptidyl peptidase I	12751	Chr7 55.97 cM		0.76
OMIM:101200	acrocephalosyndactylia	No	MGI:98728	transforming growth factor, beta receptor I	21812	Chr4 26.02 cM		0.72
OMIM:101200	acrocephalosyndactylia	No	MGI:95523	fibroblast growth factor receptor 2	14183	Chr7 73.19 cM		0.7
OMIM:101200	acrocephalosyndactylia	No	MGI:96062	histidine decarboxylase	15186	Chr2 61.76 cM		0.66
OMIM:101200	acrocephalosyndactylia	No	MGI:2448181					0.64
OMIM:101200	acrocephalosyndactylia	No	MGI:98504	HNF1 homeobox A	21405	Chr5 55.99 cM		0.61
OMIM:101200	acrocephalosyndactylia	No	MGI:2388124	clarin 1	229320	Chr3 28.78 cM		0.6
OMIM:101200	acrocephalosyndactylia	No	MGI:95499	Fc receptor, IgG, low affinity IIb	14130	Chr1 78.02 cM		0.43
OMIM:101200	acrocephalosyndactylia	No	MGI:2389007	HYDIN, axonemal central pair apparatus protein	244653	Chr8 57.5 cM		0.35
OMIM:101400	Saethre-Chotzen syndrome	No	MGI:6103871					0.83
OMIM:101400	Saethre-Chotzen syndrome	No	MGI:2443337	fascin actin-bundling protein 2	238021	Chr11 84.08 cM		0.81
OMIM:101400	Saethre-Chotzen syndrome	No	MGI:88454	collagen, type IV, alpha 1	12826	Chr8 5.53 cM		0.79
OMIM:101400	Saethre-Chotzen syndrome	No	MGI:103555	chloride channel, voltage-sensitive 3	12725	Chr8 30.9 cM		0.77
OMIM:101400	Saethre-Chotzen syndrome	No	MGI:3053738					0.67
OMIM:101400	Saethre-Chotzen syndrome	No	MGI:1919595	APC membrane recruitment 1	72345	ChrX 41.99 cM		0.66
OMIM:101400	Saethre-Chotzen syndrome	No	MGI:1923810	protease, serine 8 (prostasin)	76560	Chr7 69.84 cM		0.6
OMIM:101400	Saethre-Chotzen syndrome	No	MGI:98872	twist basic helix-loop-helix transcription factor 1	22160	Chr12 14.81 cM		0.51
OMIM:101400	Saethre-Chotzen syndrome	No	MGI:97604	pyruvate kinase liver and red blood cell	18770	Chr3 39.01 cM		0.39
OMIM:101600	Pfeiffer syndrome	No	MGI:4818966					0.83
OMIM:101600	Pfeiffer syndrome	No	MGI:95523	fibroblast growth factor receptor 2	14183	Chr7 73.19 cM		0.82
OMIM:101600	Pfeiffer syndrome	No	MGI:2384871	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	214111	Chr9 35 cM		0.79
OMIM:101600	Pfeiffer syndrome	No	MGI:95522	fibroblast growth factor receptor 1	14182	Chr8 14.12 cM		0.75
OMIM:101600	Pfeiffer syndrome	No	MGI:3763890					0.73
OMIM:101600	Pfeiffer syndrome	No	MGI:3841582					0.65
OMIM:101600	Pfeiffer syndrome	No	MGI:5690059					0.6
OMIM:101600	Pfeiffer syndrome	No	MGI:95719	gap junction protein, beta 1	14618	ChrX 44.06 cM		0.59
OMIM:101600	Pfeiffer syndrome	No	MGI:2448607	nyctalopin	236690	ChrX 8.37 cM		0.45
